CountyState,FIPSCode,MothersRace,Year,TeenBirths,TeenFemalePopulation,TeenFertilityRate,AveragePrenatalVisits
"Baldwin County, AL",01003,Black or African American,2021,17,808,21.04,10.06
"Baldwin County, AL",01003,White,2021,96,5835,16.45,9.77
"Calhoun County, AL",01015,Black or African American,2021,29,1057,27.44,9.1
"Calhoun County, AL",01015,White,2021,56,2559,21.88,10.14
"Etowah County, AL",01055,Black or African American,2021,18,536,33.58,11.44
"Etowah County, AL",01055,White,2021,78,2214,35.23,10.1
"Houston County, AL",01069,Black or African American,2021,59,1024,57.62,10.64
"Houston County, AL",01069,White,2021,31,1896,16.35,11.71
"Jefferson County, AL",01073,Black or African American,2021,271,10010,27.07,9.35
"Jefferson County, AL",01073,White,2021,131,10198,12.85,9.32
"Lee County, AL",01081,Black or African American,2021,31,1451,21.36,10.19
"Lee County, AL",01081,White,2021,50,5273,9.48,9.9
"Madison County, AL",01089,Black or African American,2021,63,3791,16.62,8.43
"Madison County, AL",01089,White,2021,96,7391,12.99,7.71
"Mobile County, AL",01097,Black or African American,2021,177,5241,33.77,10.76
"Mobile County, AL",01097,White,2021,168,6837,24.57,10.5
"Montgomery County, AL",01101,Black or African American,2021,182,4799,37.92,9.36
"Montgomery County, AL",01101,White,2021,50,1956,25.56,7.98
"Morgan County, AL",01103,Black or African American,2021,22,536,41.04,9.95
"Morgan County, AL",01103,White,2021,70,2997,23.36,7.78
"Shelby County, AL",01117,Black or African American,2021,13,1176,11.05,9.54
"Shelby County, AL",01117,White,2021,52,5970,8.71,8.5
"Tuscaloosa County, AL",01125,Black or African American,2021,76,3119,24.37,8.21
"Tuscaloosa County, AL",01125,White,2021,66,6227,10.6,8.17
"Unidentified Counties, AL",01999,Black or African American,2021,442,14215,31.09,9.27
"Unidentified Counties, AL",01999,White,2021,1214,43478,27.92,9.69
"Anchorage Borough, AK",02020,American Indian or Alaska Native,2021,26,961,27.06,8.88
"Anchorage Borough, AK",02020,Asian,2021,15,1037,14.46,6.87
"Anchorage Borough, AK",02020,Native Hawaiian or Other Pacific Islander,2021,14,441,31.75,6.43
"Anchorage Borough, AK",02020,White,2021,30,4111,7.3,9.83
"Unidentified Counties, AK",02999,American Indian or Alaska Native,2021,147,3466,42.41,8.61
"Unidentified Counties, AK",02999,White,2021,83,7368,11.26,10.62
"Cochise County, AZ",04003,White,2021,70,3087,22.68,7.34
"Coconino County, AZ",04005,American Indian or Alaska Native,2021,42,1777,23.64,8.05
"Coconino County, AZ",04005,White,2021,26,5058,5.14,9.26
"Maricopa County, AZ",04013,American Indian or Alaska Native,2021,63,5314,11.86,9.26
"Maricopa County, AZ",04013,Black or African American,2021,186,10930,17.02,9.87
"Maricopa County, AZ",04013,White,2021,1690,118064,14.31,9.78
"Mohave County, AZ",04015,American Indian or Alaska Native,2021,12,265,45.28,9.67
"Mohave County, AZ",04015,White,2021,92,4150,22.17,9.97
"Navajo County, AZ",04017,American Indian or Alaska Native,2021,60,1952,30.74,9.25
"Navajo County, AZ",04017,White,2021,29,1533,18.92,10.66
"Pima County, AZ",04019,American Indian or Alaska Native,2021,29,1897,15.29,4.59
"Pima County, AZ",04019,Black or African American,2021,18,1592,11.31,6.17
"Pima County, AZ",04019,White,2021,400,27423,14.59,9.03
"Pinal County, AZ",04021,American Indian or Alaska Native,2021,36,1108,32.49,10.59
"Pinal County, AZ",04021,White,2021,191,9981,19.14,10.67
"Yavapai County, AZ",04025,White,2021,75,4710,15.92,9.96
"Yuma County, AZ",04027,White,2021,176,6270,28.07,7.26
"Unidentified Counties, AZ",04999,American Indian or Alaska Native,2021,81,2816,28.76,7.71
"Unidentified Counties, AZ",04999,White,2021,112,4595,24.37,8.94
"Benton County, AR",05007,Black or African American,2021,11,193,56.99,8.45
"Benton County, AR",05007,Native Hawaiian or Other Pacific Islander,2021,15,111,135.14,6.87
"Benton County, AR",05007,White,2021,138,8461,16.31,9.1
"Faulkner County, AR",05045,Black or African American,2021,15,687,21.83,7.53
"Faulkner County, AR",05045,White,2021,60,3736,16.06,9.52
"Pulaski County, AR",05119,Black or African American,2021,186,5493,33.86,7.65
"Pulaski County, AR",05119,White,2021,98,5390,18.18,7.08
"Saline County, AR",05125,Black or African American,2021,17,468,36.32,7.53
"Saline County, AR",05125,White,2021,64,3045,21.02,8.88
"Sebastian County, AR",05131,Black or African American,2021,13,318,40.88,7.92
"Sebastian County, AR",05131,White,2021,94,3171,29.64,9.4
"Washington County, AR",05143,Black or African American,2021,19,412,46.12,8.42
"Washington County, AR",05143,Native Hawaiian or Other Pacific Islander,2021,33,376,87.77,5.79
"Washington County, AR",05143,White,2021,124,8395,14.77,9.89
"Unidentified Counties, AR",05999,Black or African American,2021,468,10252,45.65,8.66
"Unidentified Counties, AR",05999,White,2021,1169,41239,28.35,10.08
"Alameda County, CA",06001,Asian,2021,14,14340,0.98,11.38
"Alameda County, CA",06001,Black or African American,2021,59,4745,12.43,9.83
"Alameda County, CA",06001,White,2021,238,22479,10.59,9.6
"Butte County, CA",06007,White,2021,70,6154,11.37,9.14
"Contra Costa County, CA",06013,Black or African American,2021,43,3526,12.2,8.6
"Contra Costa County, CA",06013,White,2021,175,22746,7.69,9.7
"El Dorado County, CA",06017,White,2021,22,4518,4.87,10.24
"Fresno County, CA",06019,Asian,2021,32,3886,8.23,10.87
"Fresno County, CA",06019,Black or African American,2021,44,2189,20.1,10.14
"Fresno County, CA",06019,White,2021,553,28229,19.59,10.93
"Humboldt County, CA",06023,American Indian or Alaska Native,2021,11,384,28.65,9.09
"Humboldt County, CA",06023,White,2021,33,3382,9.76,9.76
"Imperial County, CA",06025,White,2021,101,6127,16.48,8.27
"Kern County, CA",06029,Black or African American,2021,55,2161,25.45,10.35
"Kern County, CA",06029,White,2021,599,28231,21.22,11.32
"Kings County, CA",06031,White,2021,88,4170,21.1,13.66
"Los Angeles County, CA",06037,American Indian or Alaska Native,2021,12,5274,2.28,10.33
"Los Angeles County, CA",06037,Asian,2021,42,35449,1.18,10.07
"Los Angeles County, CA",06037,Black or African American,2021,330,25701,12.84,9.62
"Los Angeles County, CA",06037,White,2021,2312,218776,10.57,10.33
"Madera County, CA",06039,White,2021,102,4951,20.6,9.77
"Marin County, CA",06041,White,2021,24,6361,3.77,8.21
"Merced County, CA",06047,White,2021,214,10014,21.37,9.74
"Monterey County, CA",06053,White,2021,275,13086,21.01,10.3
"Napa County, CA",06055,White,2021,25,3301,7.57,11.04
"Orange County, CA",06059,Black or African American,2021,10,2282,4.38,12.56
"Orange County, CA",06059,White,2021,568,69760,8.14,11.07
"Placer County, CA",06061,White,2021,44,9729,4.52,10.64
"Riverside County, CA",06065,American Indian or Alaska Native,2021,10,1904,5.25,13.2
"Riverside County, CA",06065,Asian,2021,18,6283,2.86,10.56
"Riverside County, CA",06065,Black or African American,2021,67,6345,10.56,10.02
"Riverside County, CA",06065,White,2021,749,67418,11.11,10.85
"Sacramento County, CA",06067,American Indian or Alaska Native,2021,11,881,12.49,10.55
"Sacramento County, CA",06067,Asian,2021,30,8205,3.66,10.61
"Sacramento County, CA",06067,Black or African American,2021,72,5973,12.05,10.49
"Sacramento County, CA",06067,White,2021,278,27905,9.96,10.58
"San Bernardino County, CA",06071,Asian,2021,17,4683,3.63,11.06
"San Bernardino County, CA",06071,Black or African American,2021,127,7150,17.76,10.79
"San Bernardino County, CA",06071,White,2021,816,59289,13.76,10.31
"San Diego County, CA",06073,Asian,2021,36,12389,2.91,9.86
"San Diego County, CA",06073,Black or African American,2021,44,5366,8.2,10.14
"San Diego County, CA",06073,White,2021,635,71197,8.92,10.04
"San Francisco County, CA",06075,White,2021,55,7875,6.98,9.02
"San Joaquin County, CA",06077,Asian,2021,35,5041,6.94,9.16
"San Joaquin County, CA",06077,Black or African American,2021,35,2424,14.44,10.33
"San Joaquin County, CA",06077,White,2021,283,18081,15.65,10.06
"San Luis Obispo County, CA",06079,White,2021,65,9091,7.15,11.21
"San Mateo County, CA",06081,Asian,2021,21,4646,4.52,10.43
"San Mateo County, CA",06081,White,2021,96,12143,7.91,11.32
"Santa Barbara County, CA",06083,White,2021,315,15327,20.55,10.59
"Santa Clara County, CA",06085,Asian,2021,15,19434,0.77,11.64
"Santa Clara County, CA",06085,White,2021,276,30278,9.12,10.3
"Santa Cruz County, CA",06087,White,2021,63,9062,6.95,11.54
"Shasta County, CA",06089,White,2021,68,4217,16.13,10.94
"Solano County, CA",06095,Black or African American,2021,18,1801,9.99,10.67
"Solano County, CA",06095,White,2021,84,7365,11.41,9.72
"Sonoma County, CA",06097,White,2021,86,11964,7.19,9.98
"Stanislaus County, CA",06099,White,2021,255,16654,15.31,9.75
"Tulare County, CA",06107,White,2021,371,16991,21.84,11.6
"Ventura County, CA",06111,White,2021,244,22750,10.73,9.72
