Name,Address,Phone,Distance,OpenSundays,Rating,Notes
Wild RIver Ski Rental & Sales,"39797 Park Trail, Center City, MN 55012",651-257-0685,115.68,Yes,,
"Fitzharris Ski, Bike, and Outdoor","105 7th Ave S, St Cloud, MN 56301",320-251-2844,161.88,No,4.7,
Welch Village,"26685 County 7 Blvd, Welch, MN 55089",651-258-4567,64.55,Yes (Dec-Mar only),4.5,Rental Only
Dunham's Sports,"140 Tyler Rd N, Red Wing, MN 55066",651-388-1402,59.12,Yes,4.1,
Scheels,"1850 Adams St Suite 6, Mankato, MN 56001",507-386-7767,115.22,Yes,4.5,
Cabela's,"3900 Cabela Dr NW, Owatonna, MN 55060",507-451-4545,80.14,Yes,4.4,
Tyrol Ski & Sports,"1923 2nd St SW, Rochester, MN 55902",507-288-1683,42.34,No,4.6,
Scheels,"1220 12th St SW, Rochester, MN 55902",507-281-2444,41.75,Yes,4.6,
Myre-Big Island State Park,"19499 780th Ave, Albert Lea, MN 56007",507-668-7060,87.85,Yes,4.5,Rental Only
Dunham's Sports,"2500 Bridge Ave, Albert Lea, MN 56007",507-369-1444,89.17,Yes,4.1,
Whitewater State Park,"19041 MN-74, Altura, MN 55910",507-312-2300,20.17,Yes,4.8,Rental Only
Brone's Bike Shop,"615 S Main St #35, Fountain City, WI 54629",608-687-8601,6.26,No,4.9,
Adventure Cycle & Ski,"178 Center St, Winona, MN 55987",507-452-4228,0.43,No,4.9,
Outdoor Connection,"1601 Farwell St, La Crosse, WI 54601",608-785-8860,25.88,Yes,4.8,Rental Only
Island Outdoors,"1330 Bainbridge St, La Crosse, WI 54603",608-782-5562,23.64,Yes,4.8,
Redfeather Snowshoes,"2700 Commerce St, La Crosse, WI 54603",800-525-0081,24.37,No,5,
Dick's Sporting Goods,"4400 WI-16, La Crosse, WI 54650",608-406-3684,25.46,Yes,3.7,
Decorah Bicycles,"101 College Dr, Decorah, IA 52101",563-382-8209,51.88,Yes,5,
CrawDaddy Outdoors,"207 E Bremer Ave, Waverly, IA 50677",319-352-9129,100.33,No,4.7,
Hoigaard's,"5425 Excelsior Blvd, St Louis Park, MN 55416",952-929-1351,104.01,Yes,3.9,
Midwest Mountaineering,"309 Cedar Ave, Minneapolis, MN 55454",612-339-3433,101.74,Yes,4.7,
REI,"1955 County Rd B2 W Schneiderman's Plaza, Roseville, MN 55113",651-635-0211,101.35,Yes,4.5,
ERIK'S Bike Board Ski,"1278 Town Centre Dr Ste 170, Eagan, MN 55123",651-209-6046,92.54,Yes,4.1,
Gear West Ski and Bike,"1786 Wayzata Blvd, Long Lake, MN 55356",952-473-0377,115.08,Yes,4.6,
Play It Again Sports,"1256 Town Centre Dr, Eagan, MN 55123",651-730-9093,92.46,Yes,4.3,
